,main_style,brewery_name,beer_style,beer_name,beer_abv,cluster,avg_review_overall_p_style_p_group,avg_review_aroma_p_style_p_group,avg_review_appearance_p_style_p_group,avg_review_palate_p_style_p_group,avg_review_taste_p_style_p_group,total_reviews_per_style_by_cluster,total_reviews_by_cluster,avg_review_overall_p_beer_p_style_p_group,avg_review_aroma_p_beer_p_style_p_group,avg_review_appearance_p_beer_p_style_p_group,avg_review_palate_p_beer_p_style_p_group,avg_review_taste_p_beer_p_style_p_group,total_reviews_per_beer_per_style_by_cluster,full_total_styles,full_total_beers,review_overall_per_group_full,review_appearance_per_group_full,review_palate_per_group_full,review_taste_per_group_full,review_aroma_per_group_full,full_total_groups
85,Brown Ales,Atlantic Brewing Company,American Brown Ale,Manly Men Beer Club Blackstrapped Molasses,7.6,6.0,3.89,3.77,3.87,3.76,3.91,411.0,11628.0,4.0,3.5,4.0,4.0,4.5,1.0,48899,13,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
86,Dark Ales,Valkyrie Brewing,Belgian Dark Ale,Abby Normal,5.0,6.0,3.88,3.87,4.01,3.83,3.93,524.0,11628.0,4.0,3.0,4.0,3.5,4.0,1.0,60821,22,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
87,Dark Lagers,Frankenmuth Brewery,Märzen / Oktoberfest,Frankenmuth Oktoberfest,5.27,6.0,3.63,3.41,3.71,3.51,3.51,211.0,11628.0,3.5,3.0,4.5,4.0,3.0,1.0,60925,16,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
88,Hybrid Beers,Allagash Brewing Company,Bière de Garde,Allagash Fluxus 2011,8.0,6.0,3.78,3.6,3.77,3.61,3.72,59.0,11628.0,4.5,3.0,3.5,4.0,4.0,1.0,15775,36,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
89,India Pale Ales,Five Seasons Westside,American IPA,Fresh Hop Ale,5.3,6.0,4.05,4.03,4.04,3.98,4.1,2733.0,11628.0,4.0,4.0,4.0,4.0,4.5,1.0,210717,19,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
90,Pale Ales,Deschutes Brewery & Public House,American Pale Ale (APA),Armory XPA,6.0,6.0,3.96,3.73,3.84,3.75,3.83,1466.0,11628.0,4.5,5.0,4.0,4.0,4.0,1.0,208731,13,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
91,Pilseners and Pale Lagers,Brouwerij Martens NV,Light Lager,Martens Low Carbohydrate,4.3,6.0,3.35,2.89,3.15,3.1,3.1,503.0,11628.0,2.0,1.5,1.0,1.5,1.5,1.0,116531,14,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
92,Porters,Zea Rotisserie & Brewery,American Porter,Zea Pontchartrain Porter,5.0,6.0,3.96,3.86,3.96,3.83,4.0,562.0,11628.0,4.0,4.0,4.0,4.0,4.0,1.0,67373,22,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
93,Specialty Beers,Laurelwood Public House & Brewery,Pumpkin Ale,Stingy Jack Pumpkin Ale,7.5,6.0,3.8,3.84,3.8,3.65,3.81,1101.0,11628.0,4.0,3.0,4.5,4.5,4.0,1.0,83381,15,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
94,Stouts,Big Sky Brewing Company,American Double / Imperial Stout,Bottleworks XI Anniversary Ale,11.0,6.0,4.06,4.1,4.19,4.07,4.2,2054.0,11628.0,3.5,4.5,4.0,4.0,4.0,1.0,166797,22,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
95,Strong Ales,Gordash Brewing Company,Belgian Strong Pale Ale,Panic Attack,10.0,6.0,3.94,3.99,4.03,3.96,4.09,1784.0,11628.0,4.0,4.5,4.5,4.0,4.5,1.0,207116,32,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
96,Wheat Beers,Wild Rose Brewery & Taproom,American Pale Wheat Ale,WRed Wheat,5.0,6.0,2.66,3.07,3.28,2.96,2.71,38.0,11628.0,2.0,2.5,3.0,2.5,2.5,1.0,86224,19,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
97,Wild/Sour Beers,New Belgium Brewing,American Wild Ale,Lips Of Faith - Dark Kriek,8.0,6.0,2.61,3.33,3.83,3.11,2.61,9.0,11628.0,2.25,3.0,4.25,3.75,2.5,2.0,32378,102,3.9342535259717923,3.953001375988992,3.853973168214654,3.9700722394220844,3.8825249398004815,11628.0
98,Bocks,Tin Mill Brewing,Doppelbock,Dopplebock,5.0,7.0,3.0,3.3,3.84,3.36,3.23,22.0,2963.0,4.0,3.5,4.0,3.0,3.0,1.0,50610,69,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
99,Brown Ales,New South Brewing Co.,English Brown Ale,New South Brown Ale,5.2,7.0,3.38,3.68,4.03,3.74,3.79,17.0,2963.0,4.5,5.0,5.0,4.5,5.0,1.0,48899,15,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
100,Dark Ales,Olde Main Brewing Co. & Restaurant,Scottish Ale,Off KILT Er,8.2,7.0,3.18,3.47,3.74,3.32,3.39,19.0,2963.0,1.5,2.0,3.0,1.5,1.5,1.0,60821,22,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
101,Dark Lagers,Indian Wells Brewing Company,American Amber / Red Lager,Mojave Red,6.5,7.0,3.15,3.42,3.77,3.23,3.25,55.0,2963.0,3.5,4.0,4.0,3.5,4.5,1.0,60925,29,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
102,Hybrid Beers,Cobra Beer Partnership Limited,Bière de Champagne / Bière Brut,Krait Prestige,8.0,7.0,3.67,3.58,3.92,3.58,3.56,18.0,2963.0,5.0,5.0,5.0,5.0,5.0,1.0,15775,47,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
103,India Pale Ales,Austin Beerworks,American IPA,Fire Eagle IPA,6.2,7.0,3.43,3.86,3.82,3.61,3.65,90.0,2963.0,4.0,4.5,4.0,4.0,3.5,1.0,210717,27,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
104,Pale Ales,Wadworth and Company Ltd.,English Bitter,Bishop's Tipple,6.5,7.0,3.2,3.36,3.65,3.33,3.3,136.0,2963.0,2.0,4.0,2.0,1.5,1.5,1.0,208731,15,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
105,Pilseners and Pale Lagers,Dutch Export Breweries,Euro Pale Lager,Mariner Of Holland,5.5,7.0,3.92,3.12,3.35,3.4,3.53,2267.0,2963.0,3.0,3.0,3.0,3.0,3.0,1.0,116531,14,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
106,Porters,"Pennichuck Brewing Company, Inc.",American Porter,BackDraft Chocolate Porter,10.0,7.0,3.33,3.56,4.08,3.42,3.67,18.0,2963.0,3.0,3.0,4.5,3.0,2.5,1.0,67373,42,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
107,Specialty Beers,Otter Creek Brewing / Wolaver's,Smoked Beer,Otter Creek A Winter's Ale,5.8,7.0,3.01,3.3,3.49,3.04,3.06,81.0,2963.0,3.0,3.0,4.0,3.5,3.0,1.0,83381,18,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
108,Stouts,Redoak Boutique Beer Café,Oatmeal Stout,Belgian Chocolate Stout,5.0,7.0,3.22,3.69,4.05,3.48,3.55,75.0,2963.0,3.5,5.0,4.0,4.0,4.5,1.0,166797,24,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
109,Strong Ales,Daleside Brewery,English Strong Ale,Monkey Wrench Strong Ale,5.3,7.0,3.2,3.71,3.98,3.65,3.56,69.0,2963.0,3.5,3.5,4.0,4.5,4.0,1.0,207116,56,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
110,Wheat Beers,Ranger Creek Brewing & Distilling,Hefeweizen,Hefe,3.8,7.0,3.18,3.34,3.58,3.32,3.32,82.0,2963.0,2.5,4.0,4.0,2.5,2.0,1.0,86224,16,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
111,Wild/Sour Beers,Avery Brewing Company,American Wild Ale,Dihos Dactylion,10.3,7.0,4.04,4.21,4.0,4.11,4.32,14.0,2963.0,3.5,4.5,4.5,4.5,4.0,1.0,32378,56,3.7597030037124535,3.451400607492406,3.3994262571717853,3.507256159298009,3.212959838002025,2963.0
112,Bocks,Surly Brewing Company,Doppelbock,One,9.0,8.0,3.82,3.72,3.83,3.77,3.86,5618.0,139962.0,2.0,4.0,4.0,4.0,2.5,1.0,50610,15,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
113,Brown Ales,Margaritaville Brewing Co.,American Brown Ale,Lone Palm Ale,5.0,8.0,3.81,3.62,3.78,3.65,3.77,5805.0,139962.0,4.0,3.0,4.0,3.5,3.5,1.0,48899,13,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
114,Dark Ales,Traquair House Brewery Lld,Scottish Ale,Traquair Bear Ale,5.0,8.0,3.82,3.77,3.92,3.77,3.84,6181.0,139962.0,3.25,3.5,3.75,3.25,3.5,2.0,60821,20,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
115,Dark Lagers,The Defiant Brewing Company,American Amber / Red Lager,Muddy Creek Lager,5.6,8.0,3.72,3.42,3.66,3.54,3.6,8551.0,139962.0,3.6,3.5,3.7,3.9,3.7,5.0,60925,16,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
116,Hybrid Beers,Trafalgar Ales & Meads,Cream Ale,Trafalgar Cedar Cream Ale,5.0,8.0,3.77,3.47,3.66,3.64,3.64,2025.0,139962.0,3.25,2.75,2.25,2.75,2.5,2.0,15775,16,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
117,India Pale Ales,Southend Brewery & Smokehouse,American IPA,Jack Frost,6.9,8.0,3.95,3.95,3.96,3.9,4.0,18853.0,139962.0,3.5,4.0,3.5,4.0,4.0,1.0,210717,21,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
118,Pale Ales,Black Bear Brewery,American Pale Ale (APA),Black Bear Pail Ale,5.0,8.0,3.8,3.58,3.74,3.64,3.7,22931.0,139962.0,4.0,4.0,3.5,3.5,3.5,1.0,208731,13,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
119,Pilseners and Pale Lagers,Okanagan Spring Brewery,American Pale Lager,25th Anniversary Hopped Lager,5.2,8.0,3.34,2.87,3.1,3.09,3.08,16509.0,139962.0,3.9,3.8,4.0,4.0,3.8,5.0,116531,14,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
120,Porters,OPA-OPA Steakhouse & Brewery,American Porter,Southampton Porter,5.0,8.0,3.86,3.78,3.93,3.74,3.89,6888.0,139962.0,4.0,4.0,4.25,4.0,4.25,2.0,67373,22,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
121,Specialty Beers,Yards Brewing Co.,Lambic - Fruit,Pynk,4.5,8.0,3.46,3.53,3.54,3.42,3.48,7339.0,139962.0,4.0,4.0,4.0,4.0,4.0,1.0,83381,15,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
122,Stouts,Brouwerij De Molen,Russian Imperial Stout,Black Jack,12.5,8.0,3.94,3.94,4.1,3.93,4.03,13662.0,139962.0,4.0,4.0,4.5,4.0,4.0,1.0,166797,21,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
123,Strong Ales,McKenzie Brew House,Belgian Strong Dark Ale,Abbey 8,8.0,8.0,3.91,3.96,4.01,3.97,4.06,15360.0,139962.0,4.25,4.25,4.5,4.0,4.0,2.0,207116,25,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
124,Wheat Beers,Tallgrass Brewing Company,Witbier,Tallgrass Wheat,4.4,8.0,3.78,3.57,3.67,3.6,3.65,10200.0,139962.0,4.0,3.0,3.0,3.5,4.0,1.0,86224,14,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
125,Wild/Sour Beers,Hanssens Artisanaal bvba,Gueuze,Mead The Gueuze,7.9,8.0,1.56,2.64,3.38,2.19,1.9,40.0,139962.0,1.5,2.0,2.0,2.0,1.5,1.0,32378,69,3.7702554979208642,3.7606278847115644,3.670864234577957,3.7414012374787444,3.6348937568768664,139962.0
126,Bocks,Mammoth Brewing Company,Doppelbock,Hair Of The Bear,9.0,9.0,3.67,3.71,4.0,3.81,3.81,24.0,3007.0,4.0,4.0,4.0,3.0,4.0,1.0,50610,20,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
127,Brown Ales,Phillips Brewing Company,English Brown Ale,Dirty Squirrel Hazelnut Brown,5.2,9.0,3.2,3.37,3.74,3.21,3.34,38.0,3007.0,3.5,5.0,4.0,3.0,4.5,1.0,48899,14,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
128,Dark Ales,The Caledonian Brewery Company Limited,Scottish Ale,McEwan's Export,4.5,9.0,3.32,3.51,3.98,3.47,3.63,45.0,3007.0,2.0,1.0,4.0,2.0,1.5,1.0,60821,25,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
129,Dark Lagers,Denison's Brewing Company,Munich Dunkel Lager,Denison's Dunkel,4.9,9.0,3.45,3.36,3.69,3.44,3.48,32.0,3007.0,5.0,4.5,4.0,4.0,4.5,1.0,60925,20,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
130,Hybrid Beers,Hub City Brewing Company,Cream Ale,Snowbunny Ale,11.5,9.0,4.11,3.81,4.15,3.98,4.04,27.0,3007.0,3.5,4.0,3.5,3.0,3.5,1.0,15775,21,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
131,India Pale Ales,Heartland Brewery Union Square,American IPA,Heartland Brewery Indiana Pale Ale,5.9,9.0,1.55,2.59,3.32,2.41,2.09,11.0,3007.0,2.0,2.0,4.0,2.5,2.0,1.0,210717,44,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
132,Pale Ales,Molson Coors Canada,American Pale Ale (APA),Molson Stock Ale,5.0,9.0,4.25,3.89,4.04,3.92,4.11,2056.0,3007.0,5.0,5.0,5.0,5.0,5.0,1.0,208731,13,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
133,Pilseners and Pale Lagers,Byron Bay Brewing,American Adjunct Lager,Byron Bay Premium Ale,5.0,9.0,3.31,2.81,3.12,3.06,3.0,289.0,3007.0,4.0,4.0,3.5,3.5,3.5,1.0,116531,14,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
134,Porters,Harvest Moon Brewery,American Porter,Pigs Ass Porter,8.5,9.0,3.27,3.55,3.67,3.46,3.44,41.0,3007.0,4.0,4.0,5.0,4.0,5.0,1.0,67373,28,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
135,Specialty Beers,De 3 Horne Bierbrouwerij,Fruit / Vegetable Beer,Bananatana,7.0,9.0,2.98,3.24,3.32,3.0,3.01,84.0,3007.0,2.5,3.0,3.0,2.5,2.0,1.0,83381,17,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
136,Stouts,Mystic Brewery,English Stout,Descendant Suffolk Dark Ale,7.0,9.0,3.57,3.78,4.18,3.88,3.79,134.0,3007.0,3.5,3.5,4.0,4.0,3.5,1.0,166797,22,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
137,Strong Ales,Two Brothers Brewing Company,Wheatwine,Bare Tree Artist Series Weiss Beer 2006,10.2,9.0,3.52,3.92,3.99,3.78,3.81,125.0,3007.0,3.0,4.5,4.0,4.5,4.0,1.0,207116,35,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
138,Wheat Beers,Starr Hill Brewery,American Pale Wheat Ale,Monticello Reserve Ale,5.5,9.0,3.23,3.39,3.63,3.27,3.24,74.0,3007.0,1.5,2.0,3.0,2.0,1.5,1.0,86224,17,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
139,Wild/Sour Beers,Jolly Pumpkin Artisan Ales,Gueuze,Lambicus Dexterius,6.0,9.0,4.33,4.33,4.33,4.24,4.43,27.0,3007.0,4.75,4.5,4.75,4.5,4.75,2.0,32378,43,3.9772198204190223,3.9110409045560357,3.761390089790489,3.882440971067509,3.7268041237113403,3007.0
140,Bocks,Tyranena Brewing Company,Maibock / Helles Bock,Fighting Finches Mai Bock,8.2,10.0,3.82,3.73,3.91,3.89,3.96,79.0,4567.0,4.5,3.0,3.0,4.0,4.5,1.0,50610,23,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
141,Brown Ales,Hunterdon Brewing Company,English Brown Ale,Jersey Harvest Ale,6.0,10.0,4.08,3.84,4.04,3.82,4.1,101.0,4567.0,3.0,3.5,3.0,3.0,3.5,1.0,48899,15,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
142,Dark Ales,Kuhnhenn Brewing Company,American Black Ale,Kuhnhenn Lunar Eclipse,11.0,10.0,3.89,3.89,4.05,3.93,3.96,107.0,4567.0,3.5,3.0,4.0,4.5,3.5,1.0,60821,26,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
143,Dark Lagers,Jilin Yinpu Brewery,Schwarzbier,Yinpu Black Rice Beer,4.6,10.0,3.74,3.4,3.8,3.53,3.64,94.0,4567.0,3.0,2.75,2.75,3.0,2.5,2.0,60925,23,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
144,Hybrid Beers,Pelican Pub & Brewery,Cream Ale,Kiwanda Cream Ale,5.1,10.0,3.84,3.63,3.92,3.76,3.74,19.0,4567.0,4.0,4.5,3.5,3.5,4.5,1.0,15775,39,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
145,India Pale Ales,Alley Kat Brewing Company,American Double / Imperial IPA,Red Dragon,7.5,10.0,4.18,4.13,4.12,4.07,4.24,1647.0,4567.0,4.0,4.0,4.5,4.0,4.0,1.0,210717,20,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
146,Pale Ales,Cigar City Brewing,Saison / Farmhouse Ale,Sea Bass - Red Wine Barrel Aged,8.5,10.0,3.81,3.63,3.9,3.65,3.75,316.0,4567.0,4.5,5.0,4.5,4.0,4.5,1.0,208731,13,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
147,Pilseners and Pale Lagers,Spendrups Bryggeri AB,Dortmunder / Export Lager,Norrlands Guld Export,5.3,10.0,3.36,2.71,2.98,2.93,2.99,163.0,4567.0,1.5,1.5,2.0,1.0,1.0,1.0,116531,16,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
148,Porters,Brouwerij De Molen,English Porter,1914 Porter,5.8,10.0,3.95,3.94,4.1,3.81,4.02,149.0,4567.0,3.0,4.0,3.0,2.0,4.5,1.0,67373,22,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
149,Specialty Beers,Driftwood Brewery,Fruit / Vegetable Beer,Belle Royale,9.0,10.0,3.45,3.64,3.69,3.44,3.53,155.0,4567.0,4.0,4.0,4.0,4.0,3.5,1.0,83381,16,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
150,Stouts,Saint Louis Brewery / Schlafly Tap Room,American Stout,Schlafly Culinaria Raspberry Coffee Stout,7.0,10.0,4.18,4.15,4.28,4.14,4.26,1482.0,4567.0,4.25,4.25,4.0,4.25,4.0,2.0,166797,22,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
151,Strong Ales,Brouwerij Martens NV,Belgian Strong Pale Ale,Larine Grand 95,9.5,10.0,2.67,3.28,3.59,3.16,3.1,55.0,4567.0,2.0,2.0,4.0,3.0,2.0,1.0,207116,23,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
152,Wheat Beers,Westbrook Brewing Co.,Witbier,White Thai,5.0,10.0,3.68,3.59,3.74,3.59,3.64,137.0,4567.0,5.0,4.5,4.5,4.5,5.0,1.0,86224,15,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
153,Wild/Sour Beers,Avery Brewing Company,American Wild Ale,Quinquepartite,9.91,10.0,4.14,4.34,4.22,4.17,4.33,63.0,4567.0,4.0,4.0,4.0,4.0,4.5,1.0,32378,34,4.035033939128531,4.071381650974382,3.944493102693234,4.075104007006788,3.9680315305452156,4567.0
154,Bocks,Sleeman Breweries Ltd.,Bock,Sleeman Bock,6.0,11.0,3.79,3.75,3.91,3.78,3.93,419.0,8701.0,2.0,2.0,2.5,2.0,3.0,1.0,50610,17,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
155,Brown Ales,(512) Brewing Company,American Brown Ale,(512) Bruin,7.6,11.0,3.76,3.54,3.87,3.62,3.76,286.0,8701.0,4.5,4.5,4.0,4.0,5.0,1.0,48899,16,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
156,Dark Ales,Shenandoah Brewing Co.,Scottish Ale,Old Rag Mountain Ale,7.0,11.0,3.77,3.8,3.93,3.7,3.85,127.0,8701.0,4.0,4.5,5.0,3.5,4.5,1.0,60821,20,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
157,Dark Lagers,Bohemian Brewery,Vienna Lager,Viennese Lager,4.0,11.0,3.91,3.55,3.81,3.65,3.82,1214.0,8701.0,4.5,4.5,4.0,4.0,4.0,1.0,60925,16,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
158,Hybrid Beers,Hub City Brewing Company,Cream Ale,Snowbunny Ale,7.0,11.0,3.62,3.25,3.63,3.53,3.56,87.0,8701.0,4.25,3.5,3.5,3.5,3.75,2.0,15775,21,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
159,India Pale Ales,Tröegs Brewing Company,American IPA,Scratch Beer 45 - 2011,7.0,11.0,3.81,3.84,3.95,3.79,3.92,518.0,8701.0,4.0,4.0,4.5,4.0,4.0,1.0,210717,28,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
160,Pale Ales,Black Bear Brewery,American Pale Ale (APA),Black Bear Pail Ale,5.0,11.0,3.78,3.56,3.78,3.63,3.75,1274.0,8701.0,3.0,3.0,3.0,3.5,4.0,1.0,208731,13,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
161,Pilseners and Pale Lagers,Amstel Brouwerij B. V.,Euro Pale Lager,Amstel Bright,5.0,11.0,3.43,2.78,3.0,3.02,3.08,2407.0,8701.0,4.5,3.0,3.17,3.5,3.5,3.0,116531,14,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
162,Porters,Crown Valley Brewing & Distilling Co.,American Porter,Plowboy Porter,5.5,11.0,3.75,3.69,3.92,3.71,3.86,203.0,8701.0,3.0,3.0,3.5,3.0,3.0,1.0,67373,24,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
163,Specialty Beers,Cambridge Brewing Company,Rye Beer,EZ Ryeder,6.0,11.0,3.46,3.55,3.58,3.37,3.5,463.0,8701.0,3.5,4.0,4.0,4.0,4.5,1.0,83381,15,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
164,Stouts,Guinness Ltd.,Irish Dry Stout,Guinness Original,4.2,11.0,3.85,3.9,4.17,3.85,3.99,484.0,8701.0,4.0,3.0,4.0,3.5,4.0,1.0,166797,23,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
165,Strong Ales,Daleside Brewery,English Strong Ale,Ripon Jewel Ale,5.8,11.0,3.55,3.78,3.94,3.74,3.81,251.0,8701.0,4.0,2.0,3.0,4.0,4.0,1.0,207116,33,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
166,Wheat Beers,Joseph James Brewing Inc.,Witbier,Alpine Wit,5.1,11.0,3.77,3.61,3.72,3.65,3.73,942.0,8701.0,2.5,3.0,3.0,2.0,3.0,1.0,86224,15,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
167,Wild/Sour Beers,Brouwerij Riva S.A.,Flanders Oud Bruin,Vondel,8.5,11.0,3.81,3.85,4.15,3.94,4.17,26.0,8701.0,3.0,3.5,4.0,4.0,4.5,1.0,32378,57,3.6800367773819103,3.6038386392368693,3.487817492242271,3.595563728307091,3.4017354327088842,8701.0
168,Bocks,Rinkuškiai Alaus Darykloje,Doppelbock,Before-After,12.0,12.0,3.56,3.68,3.79,3.57,3.74,48.0,2916.0,2.5,2.0,4.0,2.5,3.5,1.0,50610,24,3.9084362139917697,3.7829218106995883,3.690500685871056,3.8144718792866943,3.672668038408779,2916.0
169,Brown Ales,Lonerider Brewing,American Brown Ale,Sweet Josie Brown Ale,6.1,12.0,3.26,3.46,3.76,3.31,3.31,34.0,2916.0,4.5,4.0,5.0,4.5,4.5,1.0,48899,42,3.9084362139917697,3.7829218106995883,3.690500685871056,3.8144718792866943,3.672668038408779,2916.0
170,Dark Ales,Carolina Beer Company,Scottish Ale,Cottonwood Scottish Style Ale,8.5,12.0,3.57,3.69,3.68,3.57,3.64,48.0,2916.0,3.0,5.0,2.5,3.0,4.0,1.0,60821,31,3.9084362139917697,3.7829218106995883,3.690500685871056,3.8144718792866943,3.672668038408779,2916.0
171,Dark Lagers,Roanoke Railhouse Brewery,Munich Dunkel Lager,Track1,4.58,12.0,3.32,3.25,3.68,3.35,3.41,54.0,2916.0,4.5,4.5,4.5,4.0,4.0,1.0,60925,22,3.9084362139917697,3.7829218106995883,3.690500685871056,3.8144718792866943,3.672668038408779,2916.0
